Group_ID,Galaxy_ID,zs,RA,DEC,zp,zp_Upper,zp_Lower,zp_prob,groupdist,log10_M,Class,R200,R200_err,morph_zurich_match,morph_zurich_d2d,morph_zurich_flag,griffith_match,griffith_d2d,griffith_flag,ultravista_match,ultravista_d2d,ultravista_flag,ch1,J,V,zpband
120,950585,-99.99,150.52082,2.243024,0.83,0.01,0.01,0.68,0.66,10.09,sf,0.88,0.11,35891,0.053144212,FALSE,78207,0.134785128,FALSE,88969,0.075995589,FALSE,18.753,14.526,2.937,10.494
120,950622,-99.99,150.51068,2.24389,0.84,0.01,0.01,0.79,0.56,10.59,p,0.88,0.11,35952,0.210350916,FALSE,78202,0.228408131,FALSE,88982,0.305642948,FALSE,42.192,20.596,0.807,11.491
120,950846,-99.99,150.52911,2.242924,0.87,0.01,0.01,0.13,0.82,9.57,sf,0.88,0.11,35851,0.148392421,FALSE,78210,0.128533194,FALSE,88843,0.218527295,FALSE,7.758,7.281,1.549,5.372
120,950854,0.835,150.52619,2.241997,0.83,0.01,0.01,1,0.74,11.03,p,0.88,0.11,35867,0.11206609,FALSE,78216,0.099754696,FALSE,88894,0.216389067,FALSE,103.065,46.005,1.602,24.463
120,951149,-99.99,150.554,2.241229,0.82,0.02,0.02,0.51,1.4,9.69,sf,0.88,0.11,13494,0.092402511,FALSE,78221,0.100258574,FALSE,88730,0.180409453,FALSE,11.294,10.184,2.157,6.933
120,951307,0.8347,150.49673,2.242879,0.84,0.01,0.01,1,0.59,10.98,sf,0.88,0.11,36025,0.111925469,FALSE,78204,2.619515272,TRUE,89011,0.181377883,FALSE,127.9,57.666,4.692,32.902
120,951379,-99.99,150.49346,2.228878,0.84,0.1,0.09,0.27,0.39,9.94,sf,0.88,0.11,36028,3.409710735,TRUE,78878,3.404264337,TRUE,87983,3.490513845,TRUE,5.379,17.835,2.268,13.505
120,951426,-99.99,150.49052,2.235391,0.84,0.01,0.01,0.86,0.55,10.87,p,0.88,0.11,36057,0.128675983,FALSE,78273,0.127150292,FALSE,88434,0.184405991,FALSE,100.403,46.369,2.346,26.584
120,951428,-99.99,150.49218,2.233961,0.83,0.01,0.01,0.84,0.48,10.8,p,0.88,0.11,36045,0.13820719,FALSE,78285,0.14108785,FALSE,88337,0.040387132,FALSE,76.146,42.34,2.482,26.22
120,951476,-99.99,150.49926,2.238815,0.83,0.01,0.01,0.78,0.46,10.43,p,0.88,0.11,36019,0.07701576,FALSE,78245,0.090884782,FALSE,88622,0.180834163,FALSE,38.565,22.705,1.273,13.721
120,951496,0.8391,150.52055,2.239162,0.8,0.02,0.04,1,0.57,10.04,sf,0.88,0.11,35890,0.091208717,FALSE,78238,0.091102045,FALSE,88628,0.180590643,FALSE,14.785,13.307,2.306,8.71
120,951509,-99.99,150.46521,2.23825,0.71,0.08,0.05,0.16,1.22,9.66,int,0.88,0.11,37345,8.340389352,TRUE,79652,0.132784234,FALSE,88486,0.18688809,FALSE,1.647,3.879,0.18,1.93
120,951749,-99.99,150.51459,2.235861,0.8,0.02,0.02,0.29,0.39,9.75,sf,0.88,0.11,35928,5.942905521,TRUE,78843,0.339699748,FALSE,88396,0.363189682,FALSE,7.342,5.815,0.666,3.616
120,951783,-99.99,150.46485,2.235823,0.82,0.02,0.01,0.54,1.21,10.25,sf,0.88,0.11,37337,0.156622811,FALSE,79168,0.147338497,FALSE,88390,0.194142666,FALSE,23.966,13.14,1.248,7.601
120,951985,-99.99,150.54353,2.2351,0.78,0.03,0.01,0.23,1.07,9.64,sf,0.88,0.11,13524,0.074340985,FALSE,78275,0.072163218,FALSE,88359,0.217796562,FALSE,13.86,12.952,5.158,12.239
120,952189,-99.99,150.46893,2.234044,0.82,0.03,0.02,0.46,1.08,10.05,p,0.88,0.11,37311,0.065752539,FALSE,79679,0.064186741,FALSE,88252,0.1224975,FALSE,8.79,6.6,0.347,3.638
120,952328,-99.99,150.4557,2.233301,0.83,0.05,0.1,0.36,1.44,10.32,p,0.88,0.11,37363,8.925014274,TRUE,79684,0.107159577,FALSE,88207,0.218642531,FALSE,4.48,4.291,0.118,2.125
120,952437,-99.99,150.45317,2.228382,0.84,0.01,0.01,0.85,1.49,11.13,p,0.88,0.11,37621,0.089394094,FALSE,79210,0.100129093,FALSE,88031,0.207069495,FALSE,148.929,67.703,2.326,36.502
120,952465,-99.99,150.52401,2.231636,0.85,0.06,0.1,0.27,0.53,9.58,p,0.88,0.11,35881,9.612002547,TRUE,238367,0.090811302,FALSE,88092,0.072420287,FALSE,-0.67,2.478,0.14,1.491
120,952535,-99.99,150.46969,2.231594,0.84,0.01,0.01,0.66,1.05,9.92,sf,0.88,0.11,37308,0.083190548,FALSE,79186,0.07857651,FALSE,88134,0.254577036,FALSE,56.99,24.33,2.522,14.974
120,952669,-99.99,150.514,2.226169,0.8,0.03,0.11,0.34,0.21,10.43,int,0.88,0.11,35912,0.231225776,FALSE,78343,0.242007274,FALSE,87812,0.291978272,FALSE,31.671,13.691,0.548,7.098
120,952679,-99.99,150.51387,2.228056,0.85,0.08,0.07,0.33,0.23,9.83,int,0.88,0.11,35917,4.134252577,TRUE,78895,0.101071746,FALSE,87902,0.18409456,FALSE,9.671,5.209,0.247,3.098
120,952686,-99.99,150.50899,2.231015,0.84,0.01,0.01,0.73,0.2,10.45,int,0.88,0.11,35948,0.11557905,FALSE,78303,0.117166907,FALSE,88098,0.154725274,FALSE,40.473,15.777,0.545,8.101
120,952696,-99.99,150.51071,2.226757,0.81,0.02,0.02,0.38,0.14,10.08,sf,0.88,0.11,35931,0.060794059,FALSE,78910,0.039212022,FALSE,87810,0.20600796,FALSE,12.734,6.633,0.302,3.768
120,952702,0.838,150.50723,2.224009,0.84,0.01,0.01,1,0.02,10.77,int,0.88,0.11,35953,0.126373795,FALSE,78354,0.128794412,FALSE,87655,0.184648599,FALSE,62.114,22.854,0.723,11.144
120,952708,-99.99,150.50932,2.227807,0.83,0.02,0.02,0.59,0.13,10.36,int,0.88,0.11,35939,0.142373699,FALSE,78321,0.136125873,FALSE,87943,0.221480476,FALSE,29.232,12.383,0.575,7.197
120,952713,-99.99,150.50342,2.227028,0.81,0.03,0.03,0.43,0.12,10.57,p,0.88,0.11,35980,0.062060794,FALSE,78333,0.070096282,FALSE,87918,0.143920055,FALSE,42.27,12.909,0.324,6.442
120,952714,0.8336,150.5031,2.226273,0.84,0.01,0.01,1,0.11,10.59,sf,0.88,0.11,35981,0.076875197,FALSE,78338,0.096916798,FALSE,87840,0.176099458,FALSE,56.763,24.542,1.475,13.686
120,952717,-99.99,150.50035,2.223389,0.84,0.03,0.02,0.52,0.17,10.18,int,0.88,0.11,36001,0.097266544,FALSE,78932,0.101832422,FALSE,87549,0.189194549,FALSE,20.021,8.581,0.388,4.748
120,952718,-99.99,150.50066,2.226491,0.9,0.05,0.04,0.2,0.18,9.81,sf,0.88,0.11,36002,0.119967108,FALSE,78913,0.128026147,FALSE,87785,0.256525308,FALSE,8.726,5.561,0.477,3.173
120,952720,0.8334,150.51222,2.22746,0.82,0.02,0.02,1,0.18,10.17,sf,0.88,0.11,35925,0.2066022,FALSE,78326,0.203766159,FALSE,87886,0.12681459,FALSE,21.153,11.276,0.693,6.715
120,952726,-99.99,150.51547,2.226903,0.91,0.04,0.03,0.14,0.26,9.73,p,0.88,0.11,35907,1.780993743,TRUE,78907,0.112473889,FALSE,87788,0.166720471,FALSE,3.165,3.903,0.214,2.537
120,952731,-99.99,150.50139,2.222665,0.82,0.01,0.01,0.42,0.15,10.61,int,0.88,0.11,35992,0.083334877,FALSE,78358,0.096306975,FALSE,87611,0.155396759,FALSE,58.287,25.321,1.1,13.557
120,952734,0.8319,150.5084,2.227345,0.83,0.01,0.01,1,0.1,10.37,int,0.88,0.11,35946,0.107303428,FALSE,78328,0.094465951,FALSE,87880,0.179865448,FALSE,30.346,12.763,0.63,7.15
120,952737,-99.99,150.5097,2.226158,0.83,0.02,0.02,0.6,0.1,10.01,sf,0.88,0.11,35936,0.084437313,FALSE,78341,0.073776803,FALSE,87810,4.430937242,TRUE,12.734,6.633,0.302,3.768
120,952740,0.8333,150.5075,2.227279,0.83,0.01,0.01,1,0.09,10.92,p,0.88,0.11,35954,0.086521378,FALSE,78327,0.27959453,FALSE,87949,0.360397692,FALSE,79.236,35.768,1.388,19.55
120,952742,-99.99,150.5031,2.224494,0.86,0.01,0.01,0.14,0.1,10.8,sf,0.88,0.11,35977,0.091612266,FALSE,78346,0.090847191,FALSE,87841,0.146336764,FALSE,131.311,61.924,12.579,41.082
120,952743,-99.99,150.50392,2.224443,0.83,0.01,0.01,0.78,0.07,11.21,int,0.88,0.11,35973,0.104179833,FALSE,78346,2.900372672,TRUE,87892,0.180873533,FALSE,148.575,60.86,2.227,31.393
120,952744,0.8383,150.50499,2.225083,0.84,0.01,0.01,1,0.05,11.29,p,0.88,0.11,35964,0.107649617,FALSE,78347,0.11842697,FALSE,87938,0.216417597,FALSE,186.835,79.005,2.369,40.355
120,952745,0.8351,150.50473,2.224246,0.83,0.01,0.01,1,0.05,11.36,p,0.88,0.11,35965,0.118674377,FALSE,78348,0.122097865,FALSE,87759,0.180023195,FALSE,206.721,79,2.448,40.917
120,952818,-99.99,150.50287,2.229806,0.82,0.01,0.01,0.61,0.19,10.47,sf,0.88,0.11,35987,0.090639787,FALSE,78306,0.102175081,FALSE,88104,0.190174221,FALSE,45.742,23.25,1.744,13.626
